,location,price,beds
0,austin-tx,2549,1
1,austin-tx,2025,1
2,austin-tx,1785,1
3,austin-tx,1595,1
4,austin-tx,1600,2
5,austin-tx,1600,2
6,austin-tx,1390,1
7,austin-tx,1120,2
8,austin-tx,1019,1
9,austin-tx,2385,1
10,austin-tx,2519,1
11,austin-tx,2128,1
12,austin-tx,2718,1
13,austin-tx,2272,1
14,austin-tx,1591,1
15,austin-tx,1561,1
16,austin-tx,1716,1
17,austin-tx,1550,1
18,austin-tx,1428,1
19,austin-tx,2861,1
20,austin-tx,1377,1
21,austin-tx,1043,1
22,austin-tx,1220,1
23,austin-tx,1385,1
24,austin-tx,925,1
25,austin-tx,1535,1
26,austin-tx,1039,1
27,austin-tx,1119,1
28,austin-tx,770,2
29,austin-tx,1039,1
30,austin-tx,919,2
31,austin-tx,985,1
32,austin-tx,799,2
33,austin-tx,770,2
34,austin-tx,588,1
35,austin-tx,989,2
36,austin-tx,590,1
37,austin-tx,593,2
38,austin-tx,538,1
39,austin-tx,505,1
40,austin-tx,475,1
41,austin-tx,1490,1
42,austin-tx,1474,1
43,austin-tx,1311,1
44,austin-tx,1670,1
45,austin-tx,1737,1
46,austin-tx,1436,1
47,austin-tx,2308,1
48,austin-tx,1926,1
49,austin-tx,1996,1
50,austin-tx,1606,1
51,austin-tx,1759,1
52,austin-tx,2203,1
53,austin-tx,2509,1
54,austin-tx,2036,1
55,austin-tx,1899,1
56,austin-tx,1397,1
57,austin-tx,1649,1
58,austin-tx,1326,1
59,austin-tx,1007,1
60,austin-tx,649,2
61,austin-tx,1204,1
62,austin-tx,1194,1
63,austin-tx,848,2
64,austin-tx,919,1
65,austin-tx,1806,1
66,austin-tx,1800,1
67,austin-tx,1450,2
68,austin-tx,1100,1
69,austin-tx,915,1
70,austin-tx,809,1
71,austin-tx,1465,1
72,austin-tx,1800,1
73,austin-tx,2605,1
74,austin-tx,1455,1
75,austin-tx,2690,1
76,austin-tx,2313,1
77,austin-tx,1312,1
78,austin-tx,1961,1
79,austin-tx,2103,1
80,austin-tx,2505,1
81,austin-tx,1450,2
82,austin-tx,1380,1
83,austin-tx,1704,1
84,austin-tx,1189,1
85,austin-tx,1839,1
86,austin-tx,1180,1
87,austin-tx,2635,1
88,austin-tx,2000,1
89,austin-tx,1209,1
90,austin-tx,1540,1
91,austin-tx,1675,2
92,austin-tx,1175,1
93,austin-tx,2175,2
94,austin-tx,2210,1
95,austin-tx,1425,1
96,austin-tx,1219,1
97,austin-tx,1420,2
98,austin-tx,1379,1
99,austin-tx,1125,1
100,austin-tx,1270,1
101,austin-tx,1100,1
102,austin-tx,1510,1
103,austin-tx,1079,1
104,austin-tx,1425,1
105,austin-tx,1300,1
106,austin-tx,1099,1
107,austin-tx,1140,2
108,austin-tx,1095,1
109,austin-tx,1385,1
110,austin-tx,920,2
111,austin-tx,1079,1
112,austin-tx,779,1
113,austin-tx,1304,1
114,austin-tx,1363,1
